datetime,temp,humidity,rainfall,windspeed,FLOOD
2022-01-01,7.2,70.6,0.0,4.0,0
2022-01-02,8.2,66.9,0.0,5.1,0
2022-01-03,8.6,67.6,0.0,3.6,0
2022-01-04,8.8,71.8,29.17,5.4,0
2022-01-05,8.4,89.6,45.83,4.3,0
2022-01-06,8.8,88.6,33.33,5.0,0
2022-01-07,8.8,81.8,16.67,6.8,0
2022-01-08,7.5,84.9,37.5,7.2,0
2022-01-09,6.4,90.8,58.33,10.0,0
2022-01-10,6.7,86.7,83.33,6.4,0
2022-01-11,7.1,74.2,16.67,5.4,0
2022-01-12,6.3,79.9,16.67,5.7,0
2022-01-13,6.8,70.4,0.0,6.8,0
2022-01-14,6.8,55.3,0.0,7.4,0
2022-01-15,6.9,49.6,0.0,5.0,0
2022-01-16,8.1,44.9,0.0,5.4,0
2022-01-17,8.8,54.2,0.0,5.0,0
2022-01-18,8.9,60.9,12.5,7.6,0
2022-01-19,8.4,63.5,8.33,5.8,0
2022-01-20,7.0,81.5,41.67,6.5,0
2022-01-21,6.5,76.3,25.0,5.8,0
2022-01-22,5.8,76.4,25.0,9.8,0
2022-01-23,6.6,87.5,58.33,8.6,0
2022-01-24,5.3,90.1,50.0,5.1,0
2022-01-25,5.3,75.9,25.0,7.6,0
2022-01-26,5.1,79.6,41.67,8.6,0
2022-01-27,4.9,76.3,20.83,10.8,0
2022-01-28,5.8,61.2,8.33,5.0,0
2022-01-29,7.6,55.2,0.0,3.6,0
2022-01-30,8.7,50.2,0.0,4.3,0
2022-01-31,8.3,61.3,0.0,7.4,0
2022-02-01,7.2,58.3,0.0,8.3,0
2022-02-02,8.0,50.3,4.17,5.8,0
2022-02-03,4.8,86.7,54.17,19.8,0
2022-02-04,3.0,94.9,54.17,8.7,0
2022-02-05,5.1,77.0,8.33,6.6,0
2022-02-06,7.2,63.0,0.0,4.0,0
2022-02-07,8.8,63.8,0.0,6.8,0
2022-02-08,8.3,61.0,4.17,6.1,0
2022-02-09,5.2,79.0,29.17,6.8,0
2022-02-10,6.5,71.6,4.17,10.8,0
2022-02-11,7.2,59.7,8.33,4.7,0
2022-02-12,8.7,45.8,0.0,7.2,0
2022-02-13,8.7,63.8,4.17,6.8,0
2022-02-14,9.1,70.8,12.5,7.2,0
2022-02-15,9.2,69.8,16.67,9.4,0
2022-02-16,8.8,63.0,0.0,6.5,0
2022-02-17,9.5,57.0,0.0,5.4,0
2022-02-18,9.6,49.5,12.5,8.3,0
2022-02-19,8.8,52.3,0.0,9.4,0
2022-02-20,8.0,49.7,8.33,9.0,0
2022-02-21,8.5,44.5,16.67,6.1,0
2022-02-22,10.6,47.5,0.0,11.2,0
2022-02-23,11.0,66.0,37.5,14.4,0
2022-02-24,9.6,70.4,16.67,15.1,0
2022-02-25,9.1,65.8,12.5,9.7,0
2022-02-26,5.9,74.4,29.17,8.2,0
2022-02-27,9.0,68.0,29.17,7.2,0
2022-02-28,10.7,45.2,0.0,4.7,0
2022-03-01,11.8,52.6,8.33,7.2,0
2022-03-02,11.8,51.7,0.0,7.2,0
2022-03-03,12.2,47.6,20.83,14.4,0
2022-03-04,11.5,55.1,4.17,7.6,0
2022-03-05,13.0,35.8,0.0,6.4,0
2022-03-06,13.9,39.6,0.0,6.4,0
2022-03-07,14.1,44.7,0.0,6.8,0
2022-03-08,14.4,33.4,0.0,6.4,0
2022-03-09,15.0,31.4,0.0,8.9,0
2022-03-10,14.6,35.7,0.0,5.8,0
2022-03-11,15.9,34.6,0.0,9.0,0
2022-03-12,16.1,33.6,0.0,6.4,0
2022-03-13,16.5,40.6,0.0,7.2,0
